Cusip,date,ESGScore,EnvironmentPillarScore,GovernancePillarScore,SocialPillarScore
00191G10,2019-12-31,0.266102555,0.1073059361,0.49652645,0.1727637415
00191G10,2020-12-31,0.2648684683,0.113836478,0.4853039008,0.1750930462
00191G10,2021-12-31,0.2631967204,0.1312968917,0.4698073218,0.1737596342
00191G10,2022-12-31,0.2519579141,0.1116303219,0.4598841555,0.1661081453
00191G10,2023-12-31,0.2673947973,0.1019417476,0.5197484277,0.1605401486
00191U10,2019-12-31,0.401311339,0.0099920064,0.465806246,0.4627446339
00191U10,2020-12-31,0.6525757469,0.1923588654,0.8309034401,0.6058191458
00191U10,2021-12-31,0.6508274481,0.2943847052,0.7131712677,0.7026082261
00191U10,2022-12-31,0.7263424912,0.3291657006,0.8675412587,0.7007409978
00191U10,2023-12-31,0.7427562039,0.394462395,0.8907239194,0.6922637967
00194010,2013-12-31,0.2207469684,0.0076869322,0.4187943262,0.2646979997
00194010,2014-12-31,0.2304544362,0.0066934404,0.4078498294,0.2999510646
00194010,2015-12-31,0.3116748699,0.0072222222,0.6490586932,0.3329998009
00194010,2016-12-31,0.2972726186,0.0368686869,0.613575141,0.294360734
00194010,2017-12-31,0.2016483875,0.0056737589,0.3355998563,0.2788486222
00194010,2018-12-31,0.2445307958,0.0099616858,0.4669069114,0.2896122658
00194010,2019-12-31,0.3528030391,0.0671379262,0.6046137812,0.4222002035
00194010,2020-12-31,0.4307238438,0.204479884,0.6253017453,0.4893877125
00194010,2021-12-31,0.542604363,0.646808498,0.471645408,0.5013523239
00195750,2002-12-31,0.3877841006,0.1705685619,0.6892224788,0.320517719
00195750,2003-12-31,0.2559562522,0.0434782609,0.5612135177,0.1849746872
00195750,2004-12-31,0.4732750177,0.1275362319,0.595917226,0.5442898514
00195750,2005-12-31,0.1827004849,0.0322061192,0.3580966617,0.1527750297
00206R10,2006-12-31,0.3934716744,0.3292456336,0.2842288557,0.4724935608
00206R10,2007-12-31,0.4779089502,0.4323082361,0.6585845498,0.4052532456
00206R10,2008-12-31,0.5482325826,0.4928382735,0.5327611374,0.5771225405
00206R10,2009-12-31,0.648686309,0.7855485144,0.6613192818,0.5900688037
00206R10,2010-12-31,0.6377709616,0.7591913131,0.7285327154,0.5461002575
00206R10,2011-12-31,0.6688608491,0.7750889422,0.6656229674,0.6298673363
00206R10,2012-12-31,0.6664318864,0.7477509979,0.7283224884,0.6044863302
00206R10,2013-12-31,0.6654143751,0.7968379447,0.7233341586,0.5862952239
00206R10,2014-12-31,0.6373118384,0.7991403965,0.6044653477,0.5918271495
00206R10,2015-12-31,0.6459996692,0.797238644,0.5641387106,0.6290024227
00206R10,2016-12-31,0.6049431327,0.7849857966,0.3264168857,0.6749953122
00206R10,2017-12-31,0.6256068696,0.7482354417,0.419675224,0.6814100643
00206R10,2018-12-31,0.6529825316,0.8117550641,0.4101438112,0.7133713409
00206R10,2019-12-31,0.6855364715,0.79372702,0.3986922602,0.7872031263
00206R10,2020-12-31,0.7369945708,0.7992173245,0.285192525,0.9384838456
00206R10,2021-12-31,0.7207312253,0.7849383734,0.2620750386,0.9248795001
00206R10,2022-12-31,0.8158209304,0.7932814501,0.6250856326,0.9195406033
00206R10,2023-12-31,0.7971263772,0.7733679345,0.58999823,0.9094857446
00212110,2016-12-31,0.2304552462,0,0.1364761092,0.4198799426
